id,vehicle_id,service_date,service_type,cost,workshop,mileage_km,notes
1,1,2023-06-15,Engine Oil Change,618,Chattogram Motor Works,24367,Customer requested
2,1,2025-05-02,Battery Replacement,13728,Speed Fix Garage,34264,Routine check
3,1,2023-10-21,Battery Replacement,4939,Rangpur Vehicle Clinic,119074,Under warranty
4,1,2024-05-04,Brake Service,10503,Elite Auto Service,10862,Routine check
5,3,2026-07-08,Full Inspection,13321,City Service Center,92187,Under warranty
6,4,2024-01-29,Engine Oil Change,9186,Dhaka Auto Care,95870,Routine check
7,4,2025-08-08,Full Inspection,10763,Elite Auto Service,55554,Customer requested
8,5,2023-11-02,Battery Replacement,14324,Speed Fix Garage,131420,Routine check
9,6,2023-04-21,Battery Replacement,6466,City Service Center,55942,Under warranty
10,7,2023-03-30,Engine Oil Change,12630,Dhaka Auto Care,141865,Routine check
11,7,2023-11-20,Full Inspection,976,Speed Fix Garage,135978,
12,7,2023-05-26,Brake Service,12319,Speed Fix Garage,86451,Under warranty
13,7,2024-02-12,Battery Replacement,11589,City Service Center,61309,
14,8,2024-04-30,Battery Replacement,7259,Chattogram Motor Works,99443,Routine check
15,9,2023-04-22,General Servicing,2874,Chattogram Motor Works,120273,Routine check
16,9,2025-03-04,Tire Replacement,2734,Speed Fix Garage,51896,Customer requested
17,9,2024-07-06,Brake Service,6003,Chattogram Motor Works,9413,
18,9,2024-07-28,Brake Service,2320,Speed Fix Garage,121213,Under warranty
19,10,2024-03-26,Tire Replacement,10389,Chattogram Motor Works,45547,Routine check
20,10,2023-06-27,General Servicing,14540,Rangpur Vehicle Clinic,129244,Routine check
21,10,2026-04-26,General Servicing,14213,Speed Fix Garage,74182,
22,13,2025-06-08,AC Repair,4143,Rangpur Vehicle Clinic,40051,
23,13,2025-05-05,Engine Oil Change,1156,Speed Fix Garage,133177,
24,13,2025-05-21,AC Repair,6960,Speed Fix Garage,26689,Under warranty
25,14,2026-02-17,Full Inspection,703,Elite Auto Service,107592,Routine check
26,15,2024-05-04,Battery Replacement,1986,Dhaka Auto Care,126772,Customer requested
27,15,2023-11-28,Battery Replacement,8024,Rangpur Vehicle Clinic,7399,Under warranty
28,15,2025-08-07,Full Inspection,2771,Elite Auto Service,107262,Routine check
29,17,2026-07-21,Engine Oil Change,14596,Elite Auto Service,19533,Under warranty
30,17,2024-11-12,AC Repair,1035,City Service Center,112647,Customer requested
31,17,2026-06-08,AC Repair,9924,Chattogram Motor Works,22222,Customer requested
32,17,2023-04-23,AC Repair,11553,City Service Center,14516,
33,18,2026-06-21,Engine Oil Change,6489,City Service Center,46945,
34,18,2026-02-22,Battery Replacement,13174,Chattogram Motor Works,37282,Customer requested
35,18,2024-05-03,AC Repair,2360,Elite Auto Service,126434,Routine check
36,18,2024-04-06,Tire Replacement,6278,City Service Center,133006,Under warranty
37,19,2025-02-02,Tire Replacement,7912,Speed Fix Garage,132452,
38,20,2025-07-14,AC Repair,6531,Elite Auto Service,18203,Routine check
39,20,2025-07-26,Engine Oil Change,1813,Speed Fix Garage,47874,Customer requested
40,20,2023-06-07,Engine Oil Change,3199,City Service Center,30366,Routine check
41,21,2025-12-02,Battery Replacement,871,City Service Center,110192,Routine check
42,21,2025-08-28,Tire Replacement,7383,Speed Fix Garage,6631,Customer requested
43,22,2024-04-20,Full Inspection,9013,Elite Auto Service,89048,Under warranty
44,23,2025-09-22,AC Repair,11409,Elite Auto Service,139979,Under warranty
45,23,2025-07-26,Tire Replacement,9793,Chattogram Motor Works,81345,Routine check
46,23,2024-06-16,Brake Service,8433,City Service Center,76535,
47,24,2025-07-22,Brake Service,10635,Chattogram Motor Works,141330,Customer requested
48,24,2024-01-09,Brake Service,14251,Elite Auto Service,41235,Routine check
49,24,2024-05-02,Engine Oil Change,1174,City Service Center,34154,Under warranty
50,25,2024-02-25,AC Repair,12085,Dhaka Auto Care,84084,Customer requested
51,25,2023-10-30,Tire Replacement,7847,Rangpur Vehicle Clinic,43623,Customer requested
52,26,2025-04-08,General Servicing,13091,Chattogram Motor Works,121072,Customer requested
53,27,2024-08-28,General Servicing,5248,Rangpur Vehicle Clinic,39557,Under warranty
54,27,2024-11-24,Battery Replacement,2340,Elite Auto Service,126562,
55,27,2023-10-13,Battery Replacement,9526,Dhaka Auto Care,81761,
56,28,2025-07-02,Tire Replacement,2015,City Service Center,15426,Routine check
57,28,2026-04-09,AC Repair,4139,City Service Center,52305,
58,29,2023-06-28,AC Repair,6962,Chattogram Motor Works,129572,Customer requested
59,29,2026-05-20,AC Repair,8881,Dhaka Auto Care,95650,Under warranty
60,29,2023-10-30,Battery Replacement,14488,Speed Fix Garage,97896,Under warranty
61,29,2025-02-02,Engine Oil Change,5163,City Service Center,93105,Customer requested
62,32,2025-05-01,Full Inspection,7749,City Service Center,43936,Under warranty
63,32,2025-04-28,Brake Service,14189,Rangpur Vehicle Clinic,23564,Routine check
64,32,2024-03-01,Tire Replacement,8276,Rangpur Vehicle Clinic,88927,
65,32,2026-04-24,Full Inspection,6656,Dhaka Auto Care,2735,Under warranty
66,33,2025-04-28,Brake Service,9606,Speed Fix Garage,149875,Routine check
67,33,2024-02-13,Brake Service,14136,Speed Fix Garage,76881,Under warranty
68,33,2023-03-28,Full Inspection,14037,City Service Center,80669,Under warranty
69,34,2024-04-04,Engine Oil Change,13463,Dhaka Auto Care,41376,Customer requested
70,34,2024-09-06,Battery Replacement,14168,Elite Auto Service,124873,
71,34,2024-08-12,General Servicing,3438,Speed Fix Garage,65159,
72,34,2023-09-02,Full Inspection,5041,Speed Fix Garage,18491,Customer requested
73,35,2024-06-12,Battery Replacement,11737,Speed Fix Garage,32348,Customer requested
74,35,2025-11-15,Battery Replacement,9925,Dhaka Auto Care,69036,Routine check
75,35,2026-04-06,Engine Oil Change,2894,City Service Center,121859,Routine check
76,35,2025-01-01,Brake Service,1366,City Service Center,95676,Under warranty
77,36,2023-04-10,Tire Replacement,5278,Rangpur Vehicle Clinic,21139,Routine check
78,36,2026-07-10,Brake Service,13028,Dhaka Auto Care,44813,Customer requested
79,36,2024-10-09,Full Inspection,14344,Elite Auto Service,79924,Customer requested
80,37,2023-07-16,AC Repair,10003,City Service Center,38674,
81,37,2023-10-08,AC Repair,5110,City Service Center,128113,Under warranty
82,37,2024-11-27,Brake Service,2178,Chattogram Motor Works,41515,Routine check
83,40,2025-05-04,General Servicing,1751,Dhaka Auto Care,35401,
84,41,2025-01-12,Brake Service,13886,Speed Fix Garage,138133,Customer requested
85,41,2023-12-19,Battery Replacement,5491,Dhaka Auto Care,32089,Routine check
86,41,2023-09-21,Full Inspection,11874,Chattogram Motor Works,60395,Customer requested
87,42,2023-06-10,General Servicing,11818,Dhaka Auto Care,21377,
88,42,2025-09-18,Full Inspection,7565,Dhaka Auto Care,52472,
89,43,2025-08-18,Engine Oil Change,4645,Dhaka Auto Care,18366,Customer requested
90,44,2023-09-11,AC Repair,3865,Rangpur Vehicle Clinic,53435,Routine check
91,45,2023-07-05,Brake Service,14358,Elite Auto Service,73712,Customer requested
92,46,2025-10-31,AC Repair,1619,Dhaka Auto Care,4665,Routine check
93,46,2024-01-28,Tire Replacement,3314,Rangpur Vehicle Clinic,2134,
94,50,2025-06-19,Battery Replacement,2258,Chattogram Motor Works,94014,Under warranty
95,50,2025-05-18,Brake Service,8925,Chattogram Motor Works,107844,
96,52,2023-08-14,AC Repair,2726,Speed Fix Garage,95699,Customer requested
97,52,2026-02-15,Battery Replacement,1165,Dhaka Auto Care,87013,Under warranty
98,52,2023-08-25,General Servicing,5146,Speed Fix Garage,82790,Under warranty
99,52,2024-04-07,AC Repair,7172,City Service Center,113187,Routine check
100,57,2025-10-03,Battery Replacement,2223,Speed Fix Garage,115834,
101,58,2025-03-31,Battery Replacement,10175,Dhaka Auto Care,45229,
102,58,2025-01-14,Brake Service,6048,Chattogram Motor Works,106981,
103,58,2024-04-21,Full Inspection,7458,Elite Auto Service,131838,Customer requested
104,58,2026-04-06,AC Repair,4972,Elite Auto Service,105919,Customer requested
105,59,2025-09-19,AC Repair,5069,Chattogram Motor Works,120179,
106,59,2023-09-08,Tire Replacement,8517,Speed Fix Garage,61508,Routine check
107,59,2023-03-02,Engine Oil Change,12588,Dhaka Auto Care,18885,Under warranty
108,59,2023-02-24,Brake Service,6769,Rangpur Vehicle Clinic,86709,Routine check
109,60,2023-06-06,Battery Replacement,12814,Rangpur Vehicle Clinic,130024,Under warranty
110,61,2025-10-01,AC Repair,4787,Rangpur Vehicle Clinic,91076,
111,61,2023-03-06,General Servicing,14919,Dhaka Auto Care,101566,Under warranty
112,61,2024-10-06,Full Inspection,6665,Speed Fix Garage,121496,
113,61,2023-03-09,Brake Service,9620,Elite Auto Service,80441,Routine check
114,62,2024-10-01,Battery Replacement,6874,Speed Fix Garage,29673,Under warranty
115,62,2026-02-08,Battery Replacement,9337,Rangpur Vehicle Clinic,124160,Under warranty
116,63,2025-11-03,Engine Oil Change,6912,City Service Center,130680,Under warranty
117,63,2026-06-17,Battery Replacement,6279,City Service Center,85012,
118,64,2023-09-20,Full Inspection,6503,City Service Center,8051,Customer requested
